# ϕ Σext Σint E Ẽ   m mt q0 q1 qt s st m̂ m̂t q̂0 q̂1 q̂t ŝ ŝt
0.3 0.74 0.0 1   0.12534685082637345 0.0 0.030909674419987706 0.0 0.0 -0.03454159696598946 -0.033158047397243 0.6982396262097221 0.9071135519612994 0.6737924216353938 0.9368847171322584 0.6858728613426729 7.749493334438738 10.344076342232617 0.2346603692074417 0.5797619266277343 0.39551052201110243 1.1260155633087685 0.30426400833184586
0.3 0.76 0.0 1   0.12534685082071037 0.0 0.025522081903428525 0.0 0.0 -0.034380775375991386 -0.03315804740358656 0.6958327066478879 0.9168154481712987 0.6737924216387097 0.9440570731218145 0.6846982047198239 7.73971401336198 10.344076342456118 0.23312924387335462 0.6239443510868619 0.39551052203255654 1.2156098839215437 0.3033256470090804
0.3 0.78 0.0 1   0.12534685081503805 0.0 0.019311447485570454 0.0 0.0 -0.03419718207941958 -0.03315804741008514 0.6929722348733831 0.9280122829192688 0.673792421642758 0.952108223266741 0.6832973556775344 7.736631294157134 10.344076342745895 0.23180529786808787 0.6873496705470008 0.39551052206085185 1.3405543823563089 0.3025240681694996
0.3 0.8 0.0 1   0.12534685121032507 0.0 0.00912875595948659 0.0 0.0 -0.033899490811807334 -0.03315804709623204 0.6880558310701357 0.9465941852116821 0.673792421992694 0.9649651668065969 0.6808784952334745 7.757727698435653 10.344076331674245 0.23102430807726834 0.8406272958312295 0.3955105215921189 1.6287615844430476 0.3021059901287511
0.3 0.5 0.0 2   0.1237522574552528 0.0 0.07755908402046208 0.0 0.0 0.007706078193485958 0.00650164192857919 0.7131169978521645 0.8152517461330678 0.6714482385151126 0.8586224677245736 0.6917318904070442 8.275935872122409 10.503650774353808 0.27217803302038607 0.3908474161599098 0.40074165009446944 0.6789025357138406 0.3291036346859454
0.3 0.52 0.0 2   0.12375225746917022 0.0 0.07401903285991773 0.0 0.0 0.007675775824615053 0.00650164192717352 0.7122452744607223 0.8224306921697669 0.6714482385315708 0.8655651533778389 0.6913305103213208 8.23057207440467 10.503650773914899 0.2688986632118512 0.39910417869137077 0.4007416500723317 0.7022155463233062 0.32715853086658253
0.3 0.54 0.0 2   0.12375225748421444 0.0 0.07037837833762106 0.0 0.0 0.007641119101651268 0.006501641924838964 0.711237356900667 0.8297229846900566 0.671448238545744 0.8724536015074055 0.6908624098405491 8.188010094963158 10.503650773466774 0.26574958136586435 0.4084058662993483 0.40074165004910006 0.727359300566068 0.32528522969020407
0.3 0.56 0.0 2   0.12375225749790325 0.0 0.06661154024617533 0.0 0.0 0.007602353653520323 0.006501641921408567 0.7100997792962326 0.8371314984602295 0.6714482385582018 0.8792895411575037 0.6903303545516234 8.1481938076078 10.503650773059094 0.26272963601951865 0.41887074588831474 0.40074165002776485 0.7545712631648495 0.3234834280419863
0.3 0.58 0.0 2   0.12375225751193276 0.0 0.06273601681205943 0.0 0.0 0.0075597209982223475 0.006501641916489438 0.7088383649622007 0.8446609039274505 0.6714482385705617 0.8860762345392325 0.6897368043570642 8.111074175326436 10.503650772643425 0.2598375624614995 0.430646855635291 0.40074165000584505 0.7841438153781709 0.32175279711123533
0.3 0.6 0.0 2   0.12375225752702886 0.0 0.05873912867632169 0.0 0.0 0.007513449789785406 0.006501641910205413 0.7074579503611285 0.8523185454175632 0.6714482385825585 0.8928190693977887 0.6890837780502751 8.076612377296607 10.50365077220829 0.25707204078620377 0.44392253590993364 0.4007416499827649 0.8164437331949588 0.320093023243306
