0.4 0.4 0.0 1   0.02074647869011503 0.0 0.011324365774278975 0.0 0.0 0.03964930707605837 0.037696439690446636 0.9251417460868194 0.9428011994038534 0.898513560392147 0.9452744546217976 0.9114313186337015 7.938555730907573 10.057660668414538 0.5255238044457251 0.671984282360092 0.6375041960134573 0.9364016628353666 0.5700008733001054
0.4 0.42 0.0 1   0.020746478635874012 0.0 0.010279857185976904 0.0 0.0 0.03953447785125275 0.03769643967627292 0.9247029779037941 0.9448329783823576 0.8985135603522217 0.9478013302525483 0.9112458642667216 7.895711714124855 10.057660670984408 0.5183562787165509 0.687771704028484 0.6375041960491608 0.9723677658630201 0.566369383010195
0.4 0.44 0.0 1   0.020746478585633995 0.0 0.009147016439073341 0.0 0.0 0.039408806092391946 0.03769643966507298 0.9240953088927538 0.9469766520936608 0.8985135603179989 0.9504312252502397 0.9109782914198481 7.858580367415734 10.0576606732426 0.5110396291869735 0.7068111695356192 0.6375041960763059 1.0134439230161023 0.5627175995947158
0.4 0.46 0.0 1   0.02074647853980545 0.0 0.007900624535497891 0.0 0.0 0.03927289081809358 0.037696439657283025 0.9233058426791755 0.9492686512997376 0.8985135602900229 0.9531910973352736 0.9106214848824253 7.8275128536659775 10.057660675158214 0.5035828239056963 0.7300001895341256 0.6375041960935202 1.0610425787194626 0.559044620664744
0.4 0.48 0.0 1   0.020746478499278746 0.0 0.006519665241011551 0.0 0.0 0.03912687317910405 0.03769643965321132 0.9223122829084156 0.951761146857037 0.8985135602696447 0.9561215902825708 0.9101637801947288 7.803124267708264 10.057660676659541 0.4959858825087764 0.7587392457342023 0.6375041960983985 1.1173460537760018 0.5553469107719281
0.4 0.5 0.0 1   0.02074647846537917 0.0 0.004964782792521438 0.0 0.0 0.03896997205657425 0.037696439653450174 0.9210742579672914 0.9545375001895318 0.8985135602587935 0.9592907382603122 0.9095847022914861 7.786531166787176 10.05766067763972 0.48822894371246534 0.7954257400310428 0.6375041960871751 1.1860545854306601 0.5516145702339907
0.4 0.52 0.0 1   0.02074647844060217 0.0 0.0031572313118066737 0.0 0.0 0.038799166317468756 0.03769643965915224 0.9195094161672903 0.9577545072358339 0.898513560260728 0.9628318277429976 0.9088432213017181 7.780005124728632 10.057660677919113 0.4802423256888944 0.8448189418489178 0.6375041960532059 1.2744475510526951 0.5478209542643369
0.4 0.54 0.0 1   0.020746478430337417 0.0 0.000896409665593345 0.0 0.0 0.03860384232266984 0.03769643967320506 0.917398558609671 0.9618097208997349 0.8985135602835749 0.9670945755712346 0.9078311810433792 7.789554199907778 10.05766067705481 0.4717856240621249 0.9194953931100167 0.6375041959800676 1.401590780235975 0.5438804732010939
0.4 0.56 0.0 1   0.020746480095483032 0.0 -0.004095846312807128 0.0 0.0 0.038086782192682196 0.03769644027998153 0.9093252884124899 0.9765977422540623 0.8985135615652535 0.9809748916392863 0.9038877867903189 7.964945761199567 10.057660594365561 0.45620898490555684 1.3849915860387683 0.6375041946257077 2.110255560076772 0.537470972566774
0.4 0.4 0.0 2   0.04160087865120212 0.0 0.02744091406325921 0.0 0.0 -0.03432787617807079 -0.033270221413162465 0.8814841778465764 0.9082384304280634 0.8439592455571852 0.9155472574927596 0.8620473459743598 8.276423790369313 10.58979107094297 0.39793488522091386 0.5090526151070499 0.5298984961810865 0.7686217423289492 0.4539068808280232
0.4 0.42 0.0 2   0.041600878650756935 0.0 0.025933325233096213 0.0 0.0 -0.03433698905996965 -0.033270221402264565 0.880930807264357 0.9111346617492351 0.8439592455663717 0.9192027680057405 0.8618160506356743 8.232141920414998 10.58979107020859 0.3930455356304242 0.5198074785405258 0.5298984960565191 0.7966237900472568 0.4512685742251713
