0.3 0.7 0.0 1   0.121477101631868 0.0 0.02943193746912653 0.0 0.0 -0.02610472423788859 -0.025829552235294477 0.6877904325132579 0.9011895564530433 0.6632488549211475 0.9324906635477949 0.6753646547035903 8.252224389596611 10.826645130735916 0.2623160545095683 0.6182885365353876 0.4262805309406336 1.1675506525987707 0.3338619619826155
0.3 0.72 0.0 1   0.12147710164688387 0.0 0.02380790914413566 0.0 0.0 -0.026086690681422182 -0.025829552255163823 0.6852881530574562 0.9118628992355953 0.663248854876106 0.9403978938199122 0.6741459684678421 8.234552702636373 10.826645130802747 0.26008415746866664 0.6654801408427413 0.42628053092190615 1.2619859043658348 0.33251520243868005
0.3 0.74 0.0 1   0.121477101657784 0.0 0.017193261665771065 0.0 0.0 -0.026060595546836745 -0.02582955228239315 0.682248371704023 0.924422389907673 0.6632488548149736 0.9494413903113721 0.6726595662992293 8.223191888593572 10.826645131039562 0.25798870768090565 0.7354057746858311 0.42628053090979207 1.397589775151269 0.33125916116889836
0.3 0.7 0.0 2   0.11649121236667612 0.0 0.03444192875484697 0.0 0.0 0.04114858713034734 0.040026630998272035 0.7203533804359352 0.898827934380555 0.6918720617942609 0.9294757183813875 0.7059153593394781 7.8924797913893245 10.498053060275677 0.25818592344523295 0.5607483340109474 0.4245922410819425 1.0672903609504567 0.3304260022078443
0.3 0.72 0.0 2   0.1164912123429285 0.0 0.029547374784388843 0.0 0.0 0.04104526335838865 0.04002663099464889 0.7180045562944715 0.9076979983253798 0.6918720618128446 0.9363591990500554 0.7047751806680549 7.8792867048014275 10.498053060619247 0.25614758373602964 0.596016439286482 0.42459224111705285 1.1401005749103839 0.32920122872938956
0.3 0.74 0.0 2   0.11649121231871444 0.0 0.024205827348078298 0.0 0.0 0.040932262268975284 0.040026630992803555 0.7153722415715311 0.9173762553204647 0.6918720618409028 0.9436644063318471 0.7034927090265383 7.870899389244564 10.49805306086776 0.2542740747028452 0.6419022571577521 0.424592241147974 1.2323083211350978 0.328080791873672
0.3 0.76 0.0 2   0.11649121229225215 0.0 0.01796517896668348 0.0 0.0 0.04079990517108945 0.04002663099340321 0.7122078040774484 0.9287194476903693 0.691872061886125 0.9519689163509178 0.7019450101702044 7.870176942336252 10.498053060958819 0.2526069297795967 0.7090562814042921 0.42459224117234384 1.3631214689096343 0.32709815421189486
0.3 0.7 0.0 3   0.16220653754002104 0.0 0.06716286461982968 0.0 0.0 0.01412364659948285 0.014334797702015024 0.6478402459761375 0.8509170810881365 0.6159926717812405 0.8984895480513978 0.6316442643985833 7.427187155307693 9.824589022491836 0.21753120884812926 0.4152164380532773 0.3543463399856552 0.8094245062753164 0.27710856887990387
0.3 0.72 0.0 3   0.16220653753839154 0.0 0.062423326033234076 0.0 0.0 0.014142503647867758 0.014334797703982554 0.6463498103252452 0.8594576187245709 0.6159926717697662 0.9051565521705272 0.630927286618752 7.401885081080319 9.824589022540072 0.21554219707144848 0.4299229924696604 0.3543463399776698 0.8446080599392399 0.27587468616078137
0.3 0.74 0.0 3   0.1622065375366515 0.0 0.05760439950597273 0.0 0.0 0.014160540567440105 0.014334797705967585 0.6447872865227171 0.8680764830507945 0.6159926717578091 0.9117522782309626 0.6301733745455881 7.3785922375047 9.824589022594166 0.21365017078293858 0.44651750670750573 0.3543463399696333 0.8834586152431622 0.27469739727984177
0.3 0.76 0.0 3   0.16220653753449465 0.0 0.05269414444508679 0.0 0.0 0.014177795709543105 0.014334797708075614 0.6431507640103697 0.8767966886206483 0.6159926717456483 0.9182954669635562 0.6293814870314516 7.357340529950694 9.824589022644618 0.21185426229866297 0.46540769337321514 0.35434633996116677 0.9267784959958115 0.2735768077430267
0.3 0.78 0.0 3   0.16220653753213185 0.0 0.04766748732398795 0.0 0.0 0.014194328981842419 0.014334797710311136 0.6414346237484032 0.8856561068873497 0.6159926717320976 0.9248142099026722 0.628548765203123 7.338198246099393 9.824589022734937 0.21015402372787348 0.4871748386986609 0.3543463399539956 0.9757042931272931 0.2725133350324819
0.3 0.8 0.0 3   0.1622065375294577 0.0 0.042495747687443235 0.0 0.0 0.014210231720438135 0.01433479771267517 0.6396270681885956 0.8947179653554773 0.615992671717929 0.9313524859612082 0.6276693066088123 7.321294495701797 9.82458902282246 0.20854973648690983 0.5126956001741239 0.35434633994614484 1.0319400659144424 0.27150794520072974
0.3 0.82 0.0 3   0.16220653752639366 0.0 0.03711663354999395 0.0 0.0 0.01422564939853528 0.014334797715213649 0.6377048364985148 0.9040933447612066 0.6159926716987364 0.9379842323010653 0.6267315454502349 7.30687057177064 9.82458902303108 0.20704301690332097 0.5434014899908263 0.3543463399441258 1.0982530151182603 0.27056262479896187
0.3 0.84 0.0 3   0.16220653752284317 0.0 0.03141069932766083 0.0 0.0 0.014240841305538663 0.014334797717843024 0.6356198556485249 0.9139981130533221 0.6159926716886069 0.9448490823112892 0.6257116401030532 7.2954074022055835 9.824589022949665 0.20563822346006333 0.5819318251469651 0.3543463399255218 1.1797177991505965 0.2696814952396963
0.3 0.86 0.0 3   0.162206537518417 0.0 0.025090509597758267 0.0 0.0 0.014256385290090734 0.014334797721108503 0.6332545729875986 0.9249438975865364 0.6159926717050829 0.9522726392462408 0.6245513584172239 7.288043994165618 9.824589022080627 0.20434676947824215 0.6343082254323785 0.35434633986308267 1.2878497615340152 0.2688742842983021
0.3 0.88 0.0 3   0.16220653751220654 0.0 0.017005640381984044 0.0 0.0 0.014274522938941195 0.014334797725425789 0.6301346961925287 0.9389703007226777 0.6159926716388452 0.9615453906200857 0.6230159233931698 7.289208336290169 9.824589023403128 0.20321197433583352 0.7238520725818253 0.3543463399086663 1.46697648690907 0.2681767618097087
0.3 0.7 0.0 4   0.14464691574898225 0.0 0.045651332766794 0.0 0.0 -0.027297297435331522 -0.027731156521958324 0.6476333004202812 0.8754154317240623 0.6206169371114476 0.9158320658328932 0.6339267601186881 8.102338750673724 10.59746482547276 0.25797480307431975 0.539559125013256 0.41369470142698417 1.0235541662938799 0.32613997184288723
0.3 0.72 0.0 4   0.14464691574382826 0.0 0.04045530257179575 0.0 0.0 -0.027351931418240674 -0.027731156521365465 0.6457523904359638 0.8852008565396262 0.6206169370946032 0.9231417712458883 0.6330155748684537 8.076837686674589 10.59746482538648 0.2555515356232211 0.5662308833896721 0.4136947013782974 1.0815104522298569 0.3246558318205978
0.3 0.74 0.0 4   0.14464691573744762 0.0 0.035009406115782404 0.0 0.0 -0.027406437454309953 -0.02773115652092018 0.6437251668655233 0.8953945753639039 0.6206169370751924 0.9305937194715527 0.6320303226149063 8.053975485847136 10.597464825352926 0.2532297891289497 0.5986301912953347 0.41369470132877145 1.1502543814114192 0.32323055535384726
0.3 0.76 0.0 4   0.14464691572932045 0.0 0.02917372340649482 0.0 0.0 -0.027461436153084794 -0.027731156520659696 0.6414933522273217 0.9062657672377319 0.6206169370550388 0.9383651320138559 0.6309420904409404 8.034178273135552 10.597464825297111 0.2510034710488891 0.6398262080080093 0.41369470127249935 1.235512833188647 0.3218619976288247
0.3 0.78 0.0 4   0.14464691571852 0.0 0.022600227944646886 0.0 0.0 -0.027518853586953305 -0.027731156520166562 0.6389066968370937 0.918481990049465 0.6206169370287309 0.9468903018875809 0.6296765148397703 8.018515646211425 10.59746482534239 0.24885880898415952 0.6971719483866725 0.4136947012113975 1.3509231508458501 0.32054475149032435
0.3 0.8 0.0 4   0.14464691483090683 0.0 0.01369798373063169 0.0 0.0 -0.027589008100732112 -0.0277311566774284 0.6352352112899052 0.9352401993540477 0.6206169370737578 0.958243577862109 0.6278727902789114 8.011960678711457 10.597464839180462 0.2467255402643299 0.8049659279954947 0.413694701839557 1.5596476451164267 0.31924787910923513
0.3 0.7 0.0 5   0.14813989390328985 0.0 0.05171275413440312 0.0 0.0 -0.03873193237452753 -0.037774134275319726 0.6511342709217691 0.8690136368893002 0.6226879995025364 0.9111718711005249 0.6366881143583304 7.876704086323933 10.34255993831696 0.24169076610128506 0.4944077588885014 0.3887440643355221 0.9465529983890865 0.30599774426609
0.3 0.72 0.0 5   0.1481398938956197 0.0 0.04675428383060786 0.0 0.0 -0.03866377357122805 -0.037774134275272236 0.6493949180019943 0.8782059417070945 0.6226879995021688 0.9181498046620781 0.6358480969113225 7.851804853059653 10.342559938369307 0.2394915093621044 0.5163392716165581 0.3887440643386448 0.9955317774296341 0.3046448944650863
0.3 0.74 0.0 5   0.14813989388876256 0.0 0.04162908354421457 0.0 0.0 -0.038594445133705246 -0.037774134276612185 0.647549796658276 0.8876389267380559 0.622687999504019 0.9251617831983815 0.6349540368702258 7.829225893908069 10.342559938385296 0.237386920839781 0.5421067665516686 0.3887440643396171 1.051824741151419 0.3033468604396953
